"location","fully_vaccinated","total_deaths"
"United States","47996520901.0","223294299.0"
"Germany","10752641667.0","30901985.0"
"France","8539327687.0","38332112.0"
"Italy","8018591263.0","43595671.0"
"Spain","4766305266.0","28644917.0"
"Argentina","3966627143.0","31681182.0"
"Chile","3357824505.0","11113710.0"
"Poland","3338540343.0","24394356.0"
"Belgium","1643622928.0","8947146.0"
"Ecuador","1483974493.0","8959876.0"
"Romania","1376649094.0","12271936.0"
"Czechia","1197122157.0","10127999.0"
"Switzerland","1085418832.0","3883259.0"
"Portugal","999579599.0","6070273.0"
"Hungary","903818896.0","9635417.0"
"Denmark","838202201.0","917611.0"
"Ireland","712175574.0","1758645.0"
"Norway","664580532.0","289478.0"
"Lithuania","339324673.0","1630370.0"
"Netherlands","319374347.0","6315257.0"
"Bulgaria","271027820.0","6554630.0"
"Slovenia","220652083.0","1585305.0"
"Croatia","211884939.0","2852144.0"
"Latvia","186671637.0","907184.0"
"Sweden","176249301.0","5103122.0"
"Austria","165058202.0","3768302.0"
"Estonia","148279008.0","425939.0"
"Malta","88443464.0","147046.0"
"Finland","79163971.0","375136.0"
"Slovakia","73748529.0","4060746.0"
"Cyprus","53018660.0","145737.0"
"Liechtenstein","4755555.0","21062.0"
"Luxembourg","938940.0","283934.0"
