"location","total_vaccinations"
"United States","96444028684"
"Germany","24386624551"
"France","20242613793"
"Italy","18026995904"
"Argentina","10739681902"
"Chile","7168387064"
"Ecuador","3792476068"
"Romania","2775200745"
"Czechia","2660980063"
"Switzerland","2366307369"
"Spain","2197044747"
"Poland","1237256144"
"Netherlands","748670231"
"Belgium","541942315"
"Portugal","473338164"
"Hungary","437256260"
"Sweden","424112760"
"Austria","383232249"
"Latvia","371991425"
"Denmark","266188863"
"Finland","238127028"
"Norway","235664428"
"Ireland","229733947"
"Slovakia","151521343"
"Croatia","119689179"
"Lithuania","106131069"
"Bulgaria","88141803"
"Slovenia","68896487"
"Estonia","48465035"
"Cyprus","37287250"
"Malta","29630191"
"Luxembourg","24125996"
"Liechtenstein","1539402"
